,1,2,10,13,14,98,,,,,,,,
1,2123088132,150929236.2,404069580.5,373451039,23075613.01,36780655.53,,,,,,,,
2,2132646804,89762708.78,405836354,385127559.1,0,0,,,,,,,,
3,2533522959,28521.7342,340056903.5,2.56E+08,0,0,,,,,,,,
4,2143584530,249407480,339963504.1,403343485.5,0,0,,,,,,,,
5,2033547538,235186093.1,448104351.9,385439858.3,0,0,,,,,,,,
6,2134794356,79667578.44,632546831.8,282819819.9,0,6.40E+07,,,,,,,,
7,1972442399,191343630.3,536042362.4,425537147.7,0,0,,,,,,,,
8,2027704973,0,264696386.6,736948509.2,0,0,,,,,,,,
9,2091903421,0,502775904.6,399081217.8,0,0,,,,,,,,
10,2306863488,6770751.132,422454700.6,357203820.2,0,0,,,,,,,,
11,2102734453,60440651.98,654052822.5,327190018,0,0,,,,,,,,
12,2391487356,228376544.7,332198114.2,1.92E+08,0,38163193.58,,,,,,,,
13,2099737067,253416584.7,517039019.4,263320957.3,0,0,,,,,,,,
14,2227336829,0,478290932.9,456978354.2,0,0,,,,,,,,
15,2330822017,119810978.2,200875245.1,359076216.5,0,0,,,,,,,,
16,2231177542,111292468.1,363844657.4,470524491,0,0,,,,,,,,
17,2161924064,259558051.5,174097270.3,533995723.7,0,0,,,,,,,,
18,2142343725,1.92E+08,447492556.2,370766448.3,0,0,,,,,,,,
19,2043198054,99863587.7,320000000,526799095.9,0,0,,,,,,,,
20,1856752132,105274155.5,276140336.1,725115051.5,0,0,,,,,,,,
21,2110293055,101942760.3,350495569.9,547869661.1,0,49494272.04,,,,,,,,
22,2004710654,59206458.83,405056050.6,581982921.4,0,0,,,,,,,,
23,2286640816,158785966.6,421821644.3,221140436.5,0,0,,,,,,,,
24,1870967908,28525571.55,497060004.4,635813391.9,0,6.40E+07,,,,,,,,
25,1811080457,206758295.3,536977791.3,508840097.4,0,0,,,,,,,,
26,2358120214,131909402.1,486521539.5,168753121,0,0,,,,,,,,
27,1933376853,121564387.7,508697117.8,415367677,0,0,,,,,,,,
28,2103977738,124146948.2,391691021.8,576119960.2,0,0,,,,,,,,
29,2067093713,59073758.55,427177734.8,591100003.7,0,0,,,,,,,,
30,1785268482,1.28E+08,436626726,675975684.2,0,102355084.1,,,,,,,,
31,2414130812,156828865.4,239233315.2,389807007.3,0,0,,,,,,,,
32,2030994821,6.40E+07,618880654.5,404503694.3,32217575.28,0,,,,,,,,
33,1999069887,65687179.25,644759134.2,418266622.1,0,6.40E+07,,,,,,,,
34,2129599135,466883412.9,355771320,130227419.8,0,0,,,,,,,,
35,2135088377,1.28E+08,619170609.2,203754398.7,0,112880939.1,,,,,,,,
36,2280603824,148435057,223219816.2,505166004.1,0,0,,,,,,,,
37,1947106386,98929752.63,642733916.3,441522022.1,0,0,,,,,,,,
38,2222840773,0,506295451.5,330760536.1,0,0,,,,,,,,
39,1890756319,118442558.7,566899560,563650653.1,0,0,,,,,,,,
40,2435965867,6.40E+07,430782751.7,249979381.7,0,0,,,,,,,,
41,2121800331,301601055.1,333476738.8,382238651.4,0,43249364.47,,,,,,,,
42,1935110608,187705291.7,796649877.9,280534222.7,0,0,,,,,,,,
43,2358793973,188666463.5,282481220.7,2.56E+08,0,26004176.82,,,,,,,,
44,2148699481,191998579.8,299283077.2,411611124.6,0,0,,,,,,,,
45,2401473705,81603919.17,337843424.3,1.92E+08,0,0,,,,,,,,
46,1866137475,68981841.55,629862525,575997891.4,0,0,,,,,,,,
47,2212545296,1.28E+08,521858777.8,246315772.8,0,0,,,,,,,,
48,2331028883,6.40E+07,92688779.29,462929835.2,0,61315467.08,,,,,,,,
49,2354910523,175276654.9,221812821.7,4.48E+08,0,0,,,,,,,,
50,2361174277,6.40E+07,293113589.5,258461075.3,8667016.216,0,,,,,,,,
51,1953903307,6.40E+07,576328752,542350187,0,0,,,,,,,,
52,1680620325,182658401.6,723796816.5,550713536.7,0,0,,,,,,,,
53,1757805303,189414279.8,337037143.9,733504267.2,0,0,,,,,,,,
54,2481886347,245011496.4,213596908.2,86210567.01,1009740.357,0,,,,,,,,
55,1737874465,123131997,453052036,738515631.4,0,0,,,,,,,,
56,2041411885,165217671.2,266311182.8,543050322.6,0,6.40E+07,,,,,,,,
57,2067356205,168147746.2,392314420.8,386398179.4,0,16697947.97,,,,,,,,
58,1645523914,23937112.3,714313788.3,6.40E+08,0,88865045.04,,,,,,,,
59,1940898349,92695395.16,433259642.9,559552900.5,0,0,,,,,,,,
60,2254193069,1.28E+08,448049149.9,269560494,0,0,,,,,,,,
61,2141015404,69119760.65,588048017.4,3.20E+08,0,0,,,,,,,,
62,2370397867,92505000.91,357017220.7,351522380.7,0,0,,,,,,,,
63,2022448237,32954006.05,595496422.7,513664700.3,0,35142881.83,,,,,,,,
64,1989199834,235757260.9,584135632.6,192050831.5,0,6.40E+07,,,,,,,,
65,1993607324,0,556429676.1,536714752.6,0,0,,,,,,,,
66,1899485615,1.28E+08,411080441.8,569941063.4,0,35142881.83,,,,,,,,
